股票代码,股票名称,涨停原因,信号次数,形态日期,量比,当日涨幅%,最高连板数
000880.SZ,潍柴重机,柴油发电机+数据中心+山东国资,1,20260123,4.77,4.03,2
603078.SH,江化微,上海国资入主+芯片材料+光刻胶+复牌,1,20260123,6.12,10.0,4
002931.SZ,锋龙股份,优必选入主+机器人概念,2,"20260122, 20260123",3.6-3.6,10.0-10.0,16
002165.SZ,红宝丽,环氧丙烷+技改试产+硬泡聚醚,1,20260122,2.86,4.17,2
600230.SH,沧州大化,化工+TDI涨价+聚碳酸酯（PC）+国企改革,1,20260121,4.1,6.34,2
603926.SH,铁流股份,机器人+具身智能+离合器龙头,1,20260121,4.93,10.0,2
601616.SH,广电电气,电网设备+数据中心+出口,1,20260121,4.63,9.93,4
002498.SZ,汉缆股份,特高压+海上风电+高压电缆,1,20260121,9.38,7.77,3
002546.SZ,新联电子,电网设备+虚拟电厂+用电采集+电力柜,1,20260120,3.68,10.01,3
002119.SZ,康强电子,存储芯片+封装材料+回购,1,20260119,3.29,7.46,2
600785.SH,新华百货,芯片资产注入传闻+零售+黄金,3,"20260116, 20260119, 20260120",1.9-2.4,4.8-10.0,3
603056.SH,德邦股份,主动退市+京东协同+机器人概念,1,20260116,9.52,10.01,3
600662.SH,外服控股,AI应用+人力资源服务+上海国企改革,1,20260115,3.7,10.08,3
000593.SZ,德龙汇能,控制权变更+氢能中心+城市燃气,1,20260115,2.41,5.0,3
601116.SH,三江购物,阿里概念+社区零售+预制菜,1,20260115,3.27,4.07,3
002044.SZ,美年健康,AI应用+体检龙头+净利润增长,1,20260115,2.23,4.42,4
002131.SZ,利欧股份,AI智能体+GEO营销+数字营销,1,20260115,4.14,4.73,4
603000.SH,人民网,AI安全+内容风控+央媒+国企,2,"20260114, 20260115",4.0-4.0,10.0-10.0,3
603888.SH,新华网,AI智能体+文化传媒+国企改革,1,20260114,3.38,10.0,3
002574.SZ,明牌珠宝,IP联名+黄金珠宝+C2M定制,1,20260114,2.23,10.01,3
601992.SH,金隅集团,商业航天+可控核聚变+北京国资,1,20260114,4.26,9.86,3
600676.SH,交运股份,资产置换+上海国资+汽车拆解+汽车零部件,1,20260114,7.88,9.85,3
003007.SZ,直真科技,商业航天+算力网络+OSS,1,20260114,3.13,9.99,5
002342.SZ,巨力索具,商业航天+深海系泊+索具龙头,1,20260114,2.58,5.34,4
300063.SZ,天龙集团,AIGC+AI营销+油墨+字节概念,2,"20260113, 20260114",2.2-3.2,11.6-20.0,3
600783.SH,鲁信创投,参股蓝箭航天+创投+山东国资,1,20260113,6.85,10.01,11
600637.SH,东方明珠,参投超聚变+MiniMax合作+文旅地标+上海国资,1,20260113,4.35,5.05,4
600477.SH,杭萧钢构,中标火箭基地+装配式建筑+绿色建筑,1,20260113,5.29,10.1,4
