股票代码,股票名称,涨停原因,信号次数,形态日期,量比,当日涨幅%,最高连板数
002119.SZ,康强电子,存储芯片+封装材料+回购,1,20260119,3.29,7.46,2
600785.SH,新华百货,芯片资产注入传闻+零售+黄金,2,"20260116, 20260119",2.4-2.4,10.0-10.0,3
603056.SH,德邦股份,主动退市+京东协同+机器人概念,1,20260116,9.52,10.01,3
600662.SH,外服控股,AI应用+人力资源服务+上海国企改革,1,20260115,3.7,10.08,3
000593.SZ,德龙汇能,控制权变更+氢能中心+城市燃气,1,20260115,2.41,5.0,3
601116.SH,三江购物,阿里概念+社区零售+预制菜,1,20260115,3.27,4.07,3
002044.SZ,美年健康,AI应用+体检龙头+净利润增长,1,20260115,2.23,4.42,4
603000.SH,人民网,AI安全+内容风控+央媒+国企,2,"20260114, 20260115",4.0-4.0,10.0-10.0,3
002342.SZ,巨力索具,商业航天+深海系泊+索具龙头,1,20260114,2.58,5.34,4
600676.SH,交运股份,资产置换+上海国资+汽车拆解+汽车零部件,1,20260114,7.88,9.85,3
003007.SZ,直真科技,商业航天+算力网络+OSS,1,20260114,3.13,9.99,5
601992.SH,金隅集团,商业航天+可控核聚变+北京国资,1,20260114,4.26,9.86,3
603888.SH,新华网,AI智能体+文化传媒+国企改革,1,20260114,3.38,10.0,3
002574.SZ,明牌珠宝,IP联名+黄金珠宝+C2M定制,1,20260114,2.23,10.01,3
300063.SZ,天龙集团,AIGC+AI营销+油墨+字节概念,2,"20260113, 20260114",2.2-3.2,11.6-20.0,3
600477.SH,杭萧钢构,中标火箭基地+装配式建筑+绿色建筑,1,20260113,5.29,10.1,4
600783.SH,鲁信创投,参股蓝箭航天+创投+山东国资,1,20260113,6.85,10.01,11
603938.SH,三孚股份,存储芯片+电子特气+硅基材料,1,20260112,4.04,5.06,2
002316.SZ,亚联发展,智慧专网+生物纤维素医疗,1,20260112,1.9,9.98,3
600637.SH,东方明珠,参投超聚变+MiniMax合作+文旅地标+上海国资,2,"20260109, 20260113",2.1-4.3,5.0-10.0,3
603015.SH,弘讯科技,可控核聚变+注塑机控制+芯片概念,2,"20260109, 20260112",4.4-4.4,10.0-10.0,3
601106.SH,中国一重,可控核聚变+工业母机+央企,2,"20260109, 20260112",2.6-3.4,10.0-10.0,3
603716.SH,塞力医疗,脑机接口+AI医疗+SPD+华为合作,1,20260109,3.08,4.39,3
002173.SZ,创新医疗,脑机接口+民营医院+博灵脑机,1,20260109,14.22,10.0,4
002931.SZ,锋龙股份,优必选拟协议受让+机器人概念+园林机械+业绩大增,2,"20260108, 20260109",3.1-5.2,10.0-10.0,9
600435.SH,北方导航,卫星通信+军工制导+央企,1,20260108,3.22,6.31,2
600775.SH,南京熊猫,脑机接口+卫星通信+智能制造+央企,1,20260108,8.93,10.02,4
002195.SZ,岩山科技,脑机接口+人形机器人+AI大模型,1,20260108,13.67,9.96,4
002774.SZ,快意电梯,旧梯更新+一带一路+粤港澳大湾区,2,"20260107, 20260108",4.8-4.8,10.0-10.0,3
